время,На каком курсе вы обучаетесь?,Сколько вам лет?,Занимаетесь ли вы каким-то спортом вне ВУЗа ?,Ваш пол,Сколько приблизительно пар вы пропускаете в неделю?,Подрабатываете ли вы или работаете помимо ВУЗа?,"Сколько приблизительно часов в неделю вы уделяете на выполнения домашнего задания и закрепления информации, полученной в ВУЗе?",Где вы проживаете?,Сколько вы зарабатываете с учетом стипендии?,Укажите количество родных братьев или сестер,На какой основе вы обучаетесь?,Укажите ваш суммарный балл ЕГЭ,Сколько времени в часах занимает ваша дорога до ВУЗа?,Считаете ли вы высшим образованием необходимым?,Ваша средняя оценка за предыдущий семестр
04.10.2023 13:15:10,3 курс (бакалавриата),20,Нет,Женский,5,Нахожу варианты подработки,30,Живу с родственниками,4300,0,На бюджетной основе,247,1,Да,5
04.10.2023 13:16:23,1  курс (бакалавриата),18,Нет,Мужской,2,Сконцентрирован(а) только на учёбе,1,В общежитии,1920,1,На бюджетной основе,236,"0,75",Нет,
04.10.2023 13:18:15,3 курс (бакалавриата),20,Да,Женский,1,Имею постоянную работу,4,Есть своя квартира,40000,1,На бюджетной основе,282,"1,5",Нет,5
04.10.2023 13:33:00,2 курс (бакалавриата),19,Нет,Мужской,7,Сконцентрирован(а) только на учёбе,7,Живу с родственниками,0,2,На контрактной основе,234,1,Нет,4
04.10.2023 13:54:53,2 курс (бакалавриата),20,Нет,Мужской,0,Имею постоянную работу,5,Есть своя квартира,60000,1,На бюджетной основе,254,"1,5",Нет,"4,2"
04.10.2023 14:03:59,2 курс (бакалавриата),23,Нет,Женский,2,Имею постоянную работу,9,Живу с родственниками,40000,0,На бюджетной основе,298,"1,5",Нет,5
04.10.2023 14:08:27,1  курс (бакалавриата),18,Да,Мужской,0,Сконцентрирован(а) только на учёбе,7,Живу с родственниками,2000,1,На бюджетной основе,260,1,Да,
04.10.2023 14:14:00,2 курс (бакалавриата),19,Да,Мужской,5,Нахожу варианты подработки,20,Есть своя квартира,10000,0,На бюджетной основе,261,"1,5",Нет,5
04.10.2023 14:15:17,4 курс (бакалавриата),20,Да,Женский,5,Нахожу варианты подработки,20,Есть своя квартира,80000,3,На контрактной основе,230,"0,2",Да,"4,75"
04.10.2023 14:15:28,4 курс (бакалавриата),21,Да,Женский,2,Нахожу варианты подработки,4,Снимаю квартиру (один или с кем-то),3300,1,На бюджетной основе,249,"1,5",Да,"4,5"
04.10.2023 14:19:09,4 курс (бакалавриата),21,Нет,Женский,2,Сконцентрирован(а) только на учёбе,43,В общежитии,11000,1,На бюджетной основе,225,"0,8",Да,"4,6"
04.10.2023 14:22:52,4 курс (бакалавриата),21,Нет,Мужской,5,Сконцентрирован(а) только на учёбе,11,В общежитии,3300,2,На бюджетной основе,243,1,Да,"4,38"
04.10.2023 14:35:15,4 курс (бакалавриата),20,Нет,Мужской,6,Имею постоянную работу,22,Живу с родственниками,75000,1,На бюджетной основе,248,"1,5",Нет,5
04.10.2023 14:58:49,1  курс (бакалавриата),18,Нет,Мужской,0,Сконцентрирован(а) только на учёбе,10,Живу с родственниками,1800,1,На бюджетной основе,264,1,Да,
04.10.2023 15:12:34,4 курс (бакалавриата),21,Нет,Мужской,10,Имею постоянную работу,4,Живу с родственниками,55000,1,На бюджетной основе,230,"0,5",Нет,"4,63"
04.10.2023 15:14:05,1  курс (бакалавриата),18,Да,Мужской,2,Нахожу варианты подработки,5,Живу с родственниками,20000,1,На бюджетной основе,236,"1,5",Нет,
04.10.2023 15:17:22,4 курс (бакалавриата),21,Да,Женский,8,Имею постоянную работу,15,Есть своя квартира,35000,1,На бюджетной основе,264,"1,5",Да,"4,7"
04.10.2023 16:12:53,2 курс (бакалавриата),19,Нет,Женский,0,Сконцентрирован(а) только на учёбе,5,Живу с родственниками,0,1,На контрактной основе,251,1,Нет,"4,86"
04.10.2023 17:04:11,4 курс (бакалавриата),20,Нет,Мужской,5,Имею постоянную работу,35,Есть своя квартира,43000,1,На бюджетной основе,219,"1,1",Да,"4,5"
04.10.2023 18:03:12,4 курс (бакалавриата),21,Нет,Мужской,5,Имею постоянную работу,10,В общежитии,93300,1,На бюджетной основе,248,1,Да,"4,75"
04.10.2023 18:29:47,1  курс (бакалавриата),18,Да,Женский,0,Сконцентрирован(а) только на учёбе,10,В общежитии,1920,3,На бюджетной основе,200,1,Да,
04.10.2023 20:47:04,1  курс (бакалавриата),18,Да,Мужской,3,Имею постоянную работу,4,Снимаю квартиру (один или с кем-то),30000,1,На бюджетной основе,226,"0,7",Да,
04.10.2023 21:34:38,2 курс (бакалавриата),19,Да,Мужской,10,Имею постоянную работу,4,Есть своя квартира,70000,1,На бюджетной основе,210,1,Нет,"3,4"
04.10.2023 22:20:58,2 курс (бакалавриата),19,Нет,Мужской,1,Сконцентрирован(а) только на учёбе,50,Живу с родственниками,0,0,На бюджетной основе,230,2,Да,"4,25"
04.10.2023 22:30:04,1  курс (бакалавриата),18,Нет,Мужской,0,Сконцентрирован(а) только на учёбе,9,Живу с родственниками,0,0,На контрактной основе,229,"1,5",Да,
04.10.2023 22:39:37,1  курс (бакалавриата),18,Да,Мужской,6,Сконцентрирован(а) только на учёбе,14,В общежитии,1920,1,На бюджетной основе,253,1,Нет,
05.10.2023 0:23:01,3 курс (бакалавриата),20,Нет,Женский,0,Сконцентрирован(а) только на учёбе,8,Есть своя квартира,0,1,На контрактной основе,242,"1,1",Да,"4,7"
05.10.2023 2:26:45,2 курс (бакалавриата),19,Нет,Женский,3,Сконцентрирован(а) только на учёбе,8,В общежитии,0,0,На бюджетной основе,250,"1,5",Да,"3,5"
05.10.2023 16:12:29,4 курс (бакалавриата),21,Да,Мужской,0,Нахожу варианты подработки,25,Живу с родственниками,7000,1,На бюджетной основе,236,1,Да,5
05.10.2023 16:47:02,1  курс (бакалавриата),18,Нет,Мужской,7,Нахожу варианты подработки,0,Снимаю квартиру (один или с кем-то),0,1,На контрактной основе,195,"1,5",Нет,0
05.10.2023 17:02:54,3 курс (бакалавриата),20,Нет,Женский,2,Сконцентрирован(а) только на учёбе,10,Есть своя квартира,3000,1,На бюджетной основе,232,1,Да,"4,5"
05.10.2023 20:24:18,4 курс (бакалавриата),21,Да,Женский,7,Нахожу варианты подработки,9,Снимаю квартиру (один или с кем-то),30000,1,На бюджетной основе,198,3,Нет,"4,8"
05.10.2023 21:15:32,1  курс (бакалавриата),20,Нет,Женский,0,Сконцентрирован(а) только на учёбе,35,Снимаю квартиру (один или с кем-то),2000,1,На бюджетной основе,260,1,Да,5
06.10.2023 1:52:19,1  курс (бакалавриата),18,Нет,Мужской,3,Сконцентрирован(а) только на учёбе,12,Снимаю квартиру (один или с кем-то),2000,1,На бюджетной основе,246,"0,25",Нет,
06.10.2023 22:33:17,1  курс (бакалавриата),18,Да,Мужской,8,Нахожу варианты подработки,2,В общежитии,30000,0,На бюджетной основе,255,"1,5",Нет,
07.10.2023 0:33:24,1  курс (бакалавриата),18,Нет,Женский,1,Сконцентрирован(а) только на учёбе,5,Живу с родственниками,1920,1,На бюджетной основе,227,"0,5",Да,
